index_name,symbol,effective_from,effective_to
nifty 100,ABB,2023-07-13,
nifty 100,ACC,2019-06-01,2024-03-28
nifty 100,ADANIENSOL,2019-06-01,
nifty 100,ADANIENT,2021-06-30,
nifty 100,ADANIGREEN,2019-06-01,
nifty 100,ADANIPORTS,2019-06-01,
nifty 100,ADANIPOWER,2024-09-30,
nifty 100,AMBUJACEM,2019-06-01,
nifty 100,APOLLOHOSP,2021-06-30,
nifty 100,ASIANPAINT,2019-06-01,
nifty 100,ATGL,2023-03-31,2025-09-30
nifty 100,AUROPHARMA,2019-06-01,2022-05-04
nifty 100,AWL,2023-07-13,2024-09-30
nifty 100,AXISBANK,2019-06-01,
nifty 100,BAJAJ-AUTO,2019-06-01,
nifty 100,BAJAJFINSV,2019-06-01,
nifty 100,BAJAJHFL,2025-09-30,2026-08-24
nifty 100,BAJAJHLDNG,2019-06-01,
nifty 100,BAJFINANCE,2019-06-01,
nifty 100,BANDHANBNK,2019-06-01,2023-07-13
nifty 100,BANKBARODA,2019-06-01,
nifty 100,BEL,2023-03-31,
nifty 100,BERGEPAINT,2019-06-01,2025-03-28
nifty 100,BHARTIARTL,2019-06-01,
nifty 100,BHEL,2025-03-28,2025-09-30
nifty 100,BIOCON,2019-06-01,2023-07-13
nifty 100,BOSCHLTD,2019-06-01,
nifty 100,BPCL,2019-06-01,
nifty 100,BRITANNIA,2019-06-01,
nifty 100,CANBK,2023-07-13,
nifty 100,CGPOWER,2025-09-30,
nifty 100,CHOLAFIN,2019-06-01,
nifty 100,CIPLA,2019-06-01,
nifty 100,COALINDIA,2019-06-01,
nifty 100,COLPAL,2019-06-01,2025-03-28
nifty 100,CONCOR,2019-06-01,2021-06-30
nifty 100,CUMMINSIND,2026-08-24,
nifty 100,DABUR,2019-06-01,2026-03-30
nifty 100,DIVISLAB,2019-06-01,
nifty 100,DLF,2019-06-01,
nifty 100,DMART,2019-06-01,
nifty 100,DRREDDY,2019-06-01,
nifty 100,EICHERMOT,2019-06-01,
nifty 100,ENRIN,2026-03-30,
nifty 100,ETERNAL,2022-05-04,
nifty 100,GAIL,2019-06-01,
nifty 100,GICRE,2019-06-01,2021-06-30
nifty 100,GLAND,2021-10-29,2023-07-13
nifty 100,GODREJCP,2019-06-01,
nifty 100,GRASIM,2019-06-01,
nifty 100,HAL,2023-03-31,
nifty 100,HAVELLS,2019-06-01,2026-08-24
nifty 100,HCLTECH,2019-06-01,
nifty 100,HDFC,2019-06-01,2023-09-29
nifty 100,HDFCAMC,2019-06-01,2024-03-28
nifty 100,HDFCAMC,2026-08-24,
nifty 100,HDFCBANK,2019-06-01,
nifty 100,HDFCLIFE,2019-06-01,
nifty 100,HEROMOTOCO,2019-06-01,2026-03-30
nifty 100,HINDALCO,2019-06-01,
nifty 100,HINDPETRO,2019-06-01,2022-05-04
nifty 100,HINDUNILVR,2019-06-01,
nifty 100,HINDZINC,2019-06-01,2021-06-30
nifty 100,HINDZINC,2026-03-30,
nifty 100,HYUNDAI,2025-09-30,
nifty 100,ICICIBANK,2019-06-01,
nifty 100,ICICIGI,2019-06-01,2026-08-24
nifty 100,ICICIPRULI,2019-06-01,2026-03-30
nifty 100,IGL,2019-06-01,2022-05-04
nifty 100,INDHOTEL,2025-09-30,
nifty 100,INDIGO,2019-06-01,
nifty 100,INDUSINDBK,2019-06-01,2026-03-30
nifty 100,INDUSTOWER,2019-06-01,2024-03-28
nifty 100,INFY,2019-06-01,
nifty 100,IOC,2019-06-01,
nifty 100,IRCTC,2023-03-31,2025-09-30
nifty 100,IRFC,2024-09-30,
nifty 100,ITC,2019-06-01,
nifty 100,JINDALSTEL,2019-06-01,2022-05-04
nifty 100,JINDALSTEL,2023-09-29,
nifty 100,JIOFIN,2024-09-30,
nifty 100,JSWENERGY,2025-03-28,2026-08-24
nifty 100,JSWSTEEL,2019-06-01,
nifty 100,JUBLFOOD,2021-06-30,2023-03-31
nifty 100,KOTAKBANK,2019-06-01,
nifty 100,LICI,2022-09-30,2026-08-24
nifty 100,LODHA,2025-03-28,
nifty 100,LT,2019-06-01,
nifty 100,LTM,2019-06-01,
nifty 100,LUPIN,2019-06-01,2023-03-31
nifty 100,M&M,2019-06-01,
nifty 100,MARICO,2019-06-01,2025-03-28
nifty 100,MARUTI,2019-06-01,
nifty 100,MAXHEALTH,2026-03-30,
nifty 100,MAZDOCK,2026-03-30,
nifty 100,MINDTREE,2022-05-04,2023-03-31
nifty 100,MOTHERSON,2019-06-01,2021-10-29
nifty 100,MOTHERSON,2023-03-31,
nifty 100,MPHASIS,2023-03-31,2023-07-13
nifty 100,MUTHOOTFIN,2019-06-01,2024-09-30
nifty 100,MUTHOOTFIN,2026-08-24,
nifty 100,NAUKRI,2019-06-01,2026-08-24
nifty 100,NESTLEIND,2019-06-01,
nifty 100,NHPC,2025-03-28,2025-09-30
nifty 100,NMDC,2019-06-01,2022-09-30
nifty 100,NTPC,2019-06-01,
nifty 100,NYKAA,2022-05-04,2024-03-28
nifty 100,OFSS,2019-06-01,2021-06-30
nifty 100,ONGC,2019-06-01,
nifty 100,PAGEIND,2023-07-13,2024-03-28
nifty 100,PAYTM,2022-05-04,2023-07-13
nifty 100,PEL,2019-06-01,2022-09-30
nifty 100,PFC,2019-06-01,2021-06-30
nifty 100,PFC,2024-09-30,
nifty 100,PGHH,2019-06-01,2024-09-30
nifty 100,PIDILITIND,2019-06-01,
nifty 100,PIIND,2019-06-01,2024-09-30
nifty 100,PNB,2019-06-01,2023-03-31
