index_name,company_name,industry,symbol,series,isin,yahoo_symbol
MIDCAP100,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,360ONE.NS
NIFTY100,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB.NS
MIDCAP100,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAPITAL.NS
NIFTY100,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS
NIFTY100,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS
NIFTY100,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS
NIFTY100,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS
NIFTY100,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,ADANIPOWER.NS
MIDCAP100,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,ALKEM.NS
NIFTY100,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS
MIDCAP100,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,APLAPOLLO.NS
NIFTY100,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS
MIDCAP100,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,ASHOKLEY.NS
NIFTY100,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS
MIDCAP100,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,ASTRAL.NS
MIDCAP100,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL.NS
MIDCAP100,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,AUBANK.NS
MIDCAP100,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,AUROPHARMA.NS
NIFTY100,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS
