yahoo_symbol,n_rows,first_date,last_date,n_null_close,n_zero_volume
360ONE.NS,1717,2019-09-19,2026-08-24,0,5
ABB.NS,1791,2019-06-03,2026-08-24,0,5
ABCAPITAL.NS,1791,2019-06-03,2026-08-24,0,5
ADANIENSOL.NS,1791,2019-06-03,2026-08-24,0,6
ADANIENT.NS,1791,2019-06-03,2026-08-24,0,5
ADANIGREEN.NS,1791,2019-06-03,2026-08-24,0,5
ADANIPORTS.NS,1791,2019-06-03,2026-08-24,0,5
ADANIPOWER.NS,1791,2019-06-03,2026-08-24,0,5
ALKEM.NS,1790,2019-06-03,2026-08-24,0,4
AMBUJACEM.NS,1791,2019-06-03,2026-08-24,0,5
APLAPOLLO.NS,1791,2019-06-03,2026-08-24,0,5
APOLLOHOSP.NS,1791,2019-06-03,2026-08-24,0,5
ASHOKLEY.NS,1791,2019-06-03,2026-08-24,0,5
ASIANPAINT.NS,1791,2019-06-03,2026-08-24,0,5
ASTRAL.NS,1791,2019-06-03,2026-08-24,0,5
ATGL.NS,1791,2019-06-03,2026-08-24,0,6
AUBANK.NS,1791,2019-06-03,2026-08-24,0,5
AUROPHARMA.NS,1790,2019-06-03,2026-08-24,0,4
AXISBANK.NS,1791,2019-06-03,2026-08-24,0,5
BAJAJ-AUTO.NS,1791,2019-06-03,2026-08-24,0,6
BAJAJFINSV.NS,1791,2019-06-03,2026-08-24,0,5
BAJAJHLDNG.NS,1791,2019-06-03,2026-08-24,0,5
BAJFINANCE.NS,1791,2019-06-03,2026-08-24,0,5
BANKBARODA.NS,1791,2019-06-03,2026-08-24,0,5
BANKINDIA.NS,1791,2019-06-03,2026-08-24,0,5
BDL.NS,1791,2019-06-03,2026-08-24,0,5
BEL.NS,1791,2019-06-03,2026-08-24,0,5
BHARATFORG.NS,1790,2019-06-03,2026-08-24,0,4
BHARTIARTL.NS,1791,2019-06-03,2026-08-24,0,5
BHEL.NS,1791,2019-06-03,2026-08-24,0,5
BIOCON.NS,1791,2019-06-03,2026-08-24,0,5
BLUESTARCO.NS,1791,2019-06-03,2026-08-24,0,5
BOSCHLTD.NS,1790,2019-06-03,2026-08-24,0,4
BPCL.NS,1791,2019-06-03,2026-08-24,0,5
BRITANNIA.NS,1791,2019-06-03,2026-08-24,0,8
BSE.NS,1791,2019-06-03,2026-08-24,0,5
CANBK.NS,1791,2019-06-03,2026-08-24,0,5
CGPOWER.NS,1791,2019-06-03,2026-08-24,0,5
CHOLAFIN.NS,1791,2019-06-03,2026-08-24,0,5
CIPLA.NS,1791,2019-06-03,2026-08-24,0,5
COALINDIA.NS,1791,2019-06-03,2026-08-24,0,5
COCHINSHIP.NS,1791,2019-06-03,2026-08-24,0,5
COFORGE.NS,1791,2019-06-03,2026-08-24,0,5
COLPAL.NS,1791,2019-06-03,2026-08-24,0,5
CONCOR.NS,1791,2019-06-03,2026-08-24,0,5
COROMANDEL.NS,1791,2019-06-03,2026-08-24,0,5
CUMMINSIND.NS,1791,2019-06-03,2026-08-24,0,5
DABUR.NS,1791,2019-06-03,2026-08-24,0,5
DIVISLAB.NS,1790,2019-06-03,2026-08-24,0,4
DIXON.NS,1791,2019-06-03,2026-08-24,0,5
DLF.NS,1791,2019-06-03,2026-08-24,0,9
DMART.NS,1791,2019-06-03,2026-08-24,0,5
DRREDDY.NS,1791,2019-06-03,2026-08-24,0,5
EICHERMOT.NS,1791,2019-06-03,2026-08-24,0,5
ENRIN.NS,296,2025-06-19,2026-08-24,0,4
ETERNAL.NS,1261,2021-07-23,2026-08-24,0,8
EXIDEIND.NS,1791,2019-06-03,2026-08-24,0,5
FEDERALBNK.NS,1791,2019-06-03,2026-08-24,0,5
FORTIS.NS,1791,2019-06-03,2026-08-24,0,6
GAIL.NS,1791,2019-06-03,2026-08-24,0,5
GLENMARK.NS,1791,2019-06-03,2026-08-24,0,5
GMRAIRPORT.NS,1791,2019-06-03,2026-08-24,0,8
GODFRYPHLP.NS,1791,2019-06-03,2026-08-24,0,5
GODREJCP.NS,1791,2019-06-03,2026-08-24,0,5
GODREJPROP.NS,1791,2019-06-03,2026-08-24,0,5
GRASIM.NS,1791,2019-06-03,2026-08-24,0,5
GROWW.NS,197,2025-11-12,2026-08-24,0,4
GVT&D.NS,1791,2019-06-03,2026-08-24,0,8
HAL.NS,1791,2019-06-03,2026-08-24,0,5
HAVELLS.NS,1791,2019-06-03,2026-08-24,0,5
HCLTECH.NS,1791,2019-06-03,2026-08-24,0,5
HDFCAMC.NS,1791,2019-06-03,2026-08-24,0,5
HDFCBANK.NS,1791,2019-06-03,2026-08-24,0,5
HDFCLIFE.NS,1791,2019-06-03,2026-08-24,0,5
HEROMOTOCO.NS,1791,2019-06-03,2026-08-24,0,5
HINDALCO.NS,1791,2019-06-03,2026-08-24,0,5
HINDPETRO.NS,1791,2019-06-03,2026-08-24,0,5
HINDUNILVR.NS,1791,2019-06-03,2026-08-24,0,5
HINDZINC.NS,1791,2019-06-03,2026-08-24,0,5
HUDCO.NS,1791,2019-06-03,2026-08-24,0,5
HYUNDAI.NS,459,2024-10-22,2026-08-24,0,5
ICICIAMC.NS,170,2025-12-19,2026-08-24,0,4
ICICIBANK.NS,1791,2019-06-03,2026-08-24,0,5
ICICIGI.NS,1791,2019-06-03,2026-08-24,0,5
IDEA.NS,1791,2019-06-03,2026-08-24,0,5
IDFCFIRSTB.NS,1791,2019-06-03,2026-08-24,0,8
INDHOTEL.NS,1791,2019-06-03,2026-08-24,0,5
INDIANB.NS,1791,2019-06-03,2026-08-24,0,5
INDIGO.NS,1790,2019-06-03,2026-08-24,0,4
INDUSINDBK.NS,1791,2019-06-03,2026-08-24,0,5
