slate,universe,signal,lookback,skip,weights,buffer,cadence,weighting,dir,id,pnl,total_return,cagr,sharpe,max_drawdown,turnover_pa,costs,round_trips,names_ever_held,accuracy,gain_to_loss,bench_ew_return,band_sigma,band_percentile,risk_adj_percentile,z_vs_frame_v0,stress_return,duplicate_of
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,quarterly,reset,output,V0 (default run),87646845.58111998,8.764684558111998,0.5778554464484398,2.2134998177860448,-0.3249847114004996,3.768242373073228,884694.3748266106,92.0,67.0,0.6739130434782609,1.834057733921138,2.8490163683705365,8616185.287543843,100.0,62.970000000000006,,0.1077020603610077,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,daily,drift,output/sweep/every_trading_day_drift,MAND daily/drift,86809592.42209585,8.680959242209585,0.575138459626219,2.1666497998428373,-0.307154645705283,31.03074859792897,7364405.96607217,821.0,96.0,0.5152253349573691,2.1915957181299057,3.1865966929839846,821923.7265438163,100.0,100.0,,0.021819885738078,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,daily,reset,output/sweep/every_trading_day_reset,MAND daily/reset,92946976.17366935,9.294697617366936,0.5946355181856868,2.2575977599445265,-0.3633505906465124,37.027886351043136,8870586.687806115,821.0,96.0,0.5225334957369062,2.0926583453947227,2.7992874524348745,821335.625442305,100.0,100.0,,0.0206291916698513,
SIG,Nifty 100 + Midcap 100,momentum 126d skip 0d,126,0,—,False,monthly,reset,output/sweep/mom126x0_monthly_reset,SIG 126/0,73600598.86010836,7.360059886010836,0.5295659522113414,1.91027518720723,-0.3013922367321827,9.23489140675606,2118244.2557808748,226.0,102.0,0.588495575221239,1.7681453051007954,2.7766889847064884,,,,,,
SIG,Nifty 100 + Midcap 100,momentum 126d skip 21d,126,21,—,False,monthly,reset,output/sweep/mom126x21_monthly_reset,SIG 126/21,86494815.6229762,8.64948156229762,0.5741121086543162,2.1172724339004065,-0.2963418136308452,10.393469124968888,2739091.7073797677,250.0,110.0,0.592,1.5561308986234998,2.7766889847064884,,,,,,
SIG,Nifty 100 + Midcap 100,momentum 189d skip 0d,189,0,—,False,monthly,reset,output/sweep/mom189x0_monthly_reset,SIG 189/0,89292950.3941605,8.929295039416049,0.5831433728195885,2.195961457865194,-0.3347993684383117,7.865797298483987,2280917.8982885126,186.0,94.0,0.553763440860215,2.0250824866536896,2.7666336104229035,,,,,,
SIG,Nifty 100 + Midcap 100,momentum 189d skip 21d,189,21,—,False,monthly,reset,output/sweep/mom189x21_monthly_reset,SIG 189/21,83883791.07678194,8.388379107678194,0.5654938118382913,2.1537700578204624,-0.3579230488187668,8.151783954058644,2212867.1312201396,188.0,92.0,0.6117021276595744,1.4885610705830097,2.7666336104229035,,,,,,
SIG,Nifty 100 + Midcap 100,momentum 252d skip 0d,252,0,—,False,monthly,reset,output/sweep/mom252x0_monthly_reset,SIG 252/0,106343443.6280798,10.63434436280798,0.6341592436940735,2.3668813807806504,-0.2930780740818592,6.978482326576902,1746975.6607992754,164.0,83.0,0.5853658536585366,2.5982191940674206,2.805451542870692,,,,,,
SIG,Nifty 100 + Midcap 100,momentum 252d skip 21d,252,21,—,False,monthly,reset,output/sweep/mom252x21_monthly_reset,SIG 252/21,107649805.93465684,10.764980593465683,0.6378152076332011,2.420548951737195,-0.3240154582967812,7.361736476273629,2059816.2584396417,168.0,83.0,0.625,2.0107976407621946,2.805451542870692,,,,,,output/sweep/monthly_reset
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,monthly,drift,output/sweep/monthly_drift,MAND monthly/drift,94887434.04890253,9.488743404890252,0.6006062830035064,2.239687467755699,-0.3004087187358391,5.973688653900253,1593577.1037072996,168.0,83.0,0.625,2.0192845593035003,2.889318597543,7474093.454994861,100.0,88.37,,0.0773432256581145,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,monthly,reset,output/sweep/monthly_reset,MAND monthly/reset,107649805.93465684,10.764980593465683,0.6378152076332011,2.420548951737195,-0.3240154582967812,7.361736476273629,2059816.2584396417,168.0,83.0,0.625,2.0107976407621946,2.805451542870692,7470579.2460306175,100.0,96.01,,0.075969231580008,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,quarterly,drift,output/sweep/quarterly_drift,MAND quarterly/drift,86377499.4396291,8.637749943962909,0.5737289062465658,2.1439689323086273,-0.3507844098860768,3.0500494300260046,744525.9753107834,92.0,67.0,0.6630434782608695,2.0510074733356003,2.9398784889297733,8631304.873078115,100.0,60.18,,0.0784922731917938,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,quarterly,reset,output/sweep/quarterly_reset,MAND quarterly/reset,87646845.58111998,8.764684558111998,0.5778554464484398,2.2134998177860448,-0.3249847114004996,3.768242373073228,884694.3748266106,92.0,67.0,0.6739130434782609,1.834057733921138,2.8490163683705365,8616185.287543843,100.0,62.970000000000006,,0.0769462024742402,
SMALL,+ Nifty Smallcap 100 (299 names),12-1 momentum,252,21,—,False,monthly,reset,output/sweep/small_monthly_reset,SMALL monthly,63738800.22590089,6.373880022590089,0.4916195811230515,1.7964995779810533,-0.3217550859508612,8.654779565718217,1784986.008523702,202.0,92.0,0.6435643564356436,1.3772844357199825,2.991194516340295,8747150.029246913,99.9,75.82,,0.0916334812151047,
SMALL,+ Nifty Smallcap 100 (299 names),12-1 momentum,252,21,—,False,quarterly,reset,output/sweep/small_quarterly_reset,SMALL quarterly,80404132.02083284,8.040413202083284,0.5537052773118576,2.029629768000827,-0.2762233720412795,4.029415567512131,1007369.9191689702,100.0,70.0,0.66,1.5335433785149222,3.0710529891077485,10272309.95479832,99.91,74.22999999999999,,0.0654594677497695,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,weekly,drift,output/sweep/weekly_drift,MAND weekly/drift,84868961.59504478,8.486896159504477,0.5687678557944782,2.116357923494601,-0.3495618660039218,13.053537461434797,3288935.4730283353,361.0,93.0,0.5512465373961218,2.141442756979151,3.254897817334496,5075941.826760431,100.0,99.97,,0.0902145909495384,
MAND,Nifty 100 + Midcap 100,12-1 momentum,252,21,—,False,weekly,reset,output/sweep/weekly_reset,MAND weekly/reset,99894149.2757179,9.98941492757179,0.6156136490577442,2.333217011258659,-0.349125432252461,16.19920479631604,4519048.077042098,361.0,93.0,0.554016620498615,2.08371448118239,2.7994726854722933,5081177.876697245,100.0,100.0,,0.0858141050487186,
V1,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/1,False,quarterly,reset,output/v1/base,V1 base,23122522.02976875,2.312252202976875,0.2708547874560936,1.1943815925992163,-0.3390126382480241,5.6482819833329865,675747.0441015905,146.0,,0.5958904109589042,1.311869810683343,,8616185.287543843,,,-7.4887344454664975,-0.011139260641482518,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/1,False,monthly,drift,output/v1/base_monthly_drift,WGT base monthly/drift,28342203.027006075,2.8342203027006074,0.308625468406869,1.3408072619514448,-0.3221447008443068,11.039294637818974,1471063.804244433,302.0,,0.5099337748344371,1.6943415620895859,,7474093.454994861,,,-8.90345182631145,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/1,False,monthly,reset,output/v1/base_monthly_reset,WGT base monthly/reset,25932458.382887326,2.5932458382887327,0.29173515840061204,1.2914070858816953,-0.329631588975286,12.001778887154195,1536686.5342803372,302.0,,0.5198675496688742,1.5529542107226098,,7470579.2460306175,,,-10.938555747894494,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/1,False,quarterly,drift,output/v1/base_quarterly_drift,WGT base quarterly/drift,21954567.674992133,2.195456767499213,0.2617569434674647,1.1268337622465743,-0.3293730918005163,5.293997891270181,611460.3606714719,146.0,,0.5958904109589042,1.3317140683533284,,8631304.873078115,,,-7.4638693351660415,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/1,False,quarterly,reset,output/v1/base_quarterly_reset,WGT base quarterly/reset,23122522.02976875,2.312252202976875,0.2708547874560936,1.1943815925992163,-0.3390126382480241,5.6482819833329865,675747.0441015905,146.0,,0.5958904109589042,1.311869810683343,,8616185.287543843,,,-7.4887344454664975,,output/v1/base
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/1,False,weekly,drift,output/v1/base_weekly_drift,WGT base weekly/drift,39569020.85156126,3.956902085156126,0.377644942966614,1.6636347193663001,-0.33310006666970926,31.24468544266194,4957457.134807551,825.0,,0.46424242424242423,1.8743407508871661,,5075941.826760431,,,-8.924440486031902,,
